2026-05-30 23:07:37 | pid=110162 alive=True | epoch=9 progress=19% loss=4.7100 | latest_ckpt_epoch=8 | gpu=43% mem=7780/12227MB power=63.33W temp=48C
2026-05-30 23:07:42 | pid=110162 alive=True | epoch=9 progress=30% loss=4.6600 | latest_ckpt_epoch=8 | gpu=1% mem=7783/12227MB power=38.47W temp=45C
2026-05-30 23:07:48 | pid=110162 alive=True | epoch=9 progress=42% loss=4.6700 | latest_ckpt_epoch=8 | gpu=21% mem=7787/12227MB power=66.59W temp=55C
2026-05-30 23:07:53 | pid=110162 alive=True | epoch=9 progress=49% loss=4.6400 | latest_ckpt_epoch=8 | gpu=1% mem=7781/12227MB power=64.32W temp=48C
2026-05-30 23:07:58 | pid=110162 alive=True | epoch=9 progress=56% loss=4.6700 | latest_ckpt_epoch=8 | gpu=1% mem=7786/12227MB power=53.65W temp=46C
2026-05-30 23:08:04 | pid=110162 alive=True | epoch=9 progress=63% loss=4.6800 | latest_ckpt_epoch=8 | gpu=1% mem=7786/12227MB power=66.90W temp=49C
2026-05-30 23:08:09 | pid=110162 alive=True | epoch=9 progress=72% loss=4.6700 | latest_ckpt_epoch=8 | gpu=1% mem=7786/12227MB power=67.03W temp=49C
2026-05-30 23:08:14 | pid=110162 alive=True | epoch=9 progress=79% loss=4.6600 | latest_ckpt_epoch=8 | gpu=29% mem=7787/12227MB power=44.07W temp=47C
2026-05-30 23:08:19 | pid=110162 alive=True | epoch=9 progress=88% loss=4.6600 | latest_ckpt_epoch=8 | gpu=24% mem=7787/12227MB power=47.17W temp=48C
2026-05-30 23:08:24 | pid=110162 alive=True | epoch=9 progress=100% loss=4.6600 | latest_ckpt_epoch=9 | gpu=1% mem=7787/12227MB power=60.00W temp=56C
2026-05-30 23:08:29 | pid=110162 alive=True | epoch=10 progress=5% loss=4.6700 | latest_ckpt_epoch=9 | gpu=39% mem=7786/12227MB power=51.19W temp=50C
2026-05-30 23:08:34 | pid=110162 alive=True | epoch=10 progress=14% loss=4.6600 | latest_ckpt_epoch=9 | gpu=1% mem=7786/12227MB power=54.08W temp=49C
2026-05-30 23:08:39 | pid=110162 alive=True | epoch=10 progress=23% loss=4.6900 | latest_ckpt_epoch=9 | gpu=4% mem=7786/12227MB power=64.83W temp=57C
2026-05-30 23:08:44 | pid=110162 alive=True | epoch=10 progress=30% loss=4.6500 | latest_ckpt_epoch=9 | gpu=1% mem=7786/12227MB power=58.10W temp=50C
2026-05-30 23:08:49 | pid=110162 alive=True | epoch=10 progress=40% loss=4.6700 | latest_ckpt_epoch=9 | gpu=1% mem=7786/12227MB power=71.55W temp=52C
2026-05-30 23:08:55 | pid=110162 alive=True | epoch=10 progress=47% loss=4.6600 | latest_ckpt_epoch=9 | gpu=12% mem=7786/12227MB power=47.00W temp=52C
2026-05-30 23:09:00 | pid=110162 alive=True | epoch=10 progress=56% loss=4.6800 | latest_ckpt_epoch=9 | gpu=1% mem=7785/12227MB power=57.45W temp=51C
2026-05-30 23:09:05 | pid=110162 alive=True | epoch=10 progress=65% loss=4.6900 | latest_ckpt_epoch=9 | gpu=41% mem=7785/12227MB power=48.42W temp=51C
2026-05-30 23:09:11 | pid=110162 alive=True | epoch=10 progress=74% loss=4.6600 | latest_ckpt_epoch=9 | gpu=1% mem=7785/12227MB power=66.08W temp=51C
2026-05-30 23:09:16 | pid=110162 alive=True | epoch=10 progress=81% loss=4.7000 | latest_ckpt_epoch=9 | gpu=1% mem=7785/12227MB power=65.54W temp=59C
2026-05-30 23:09:21 | pid=110162 alive=True | epoch=10 progress=91% loss=4.6500 | latest_ckpt_epoch=9 | gpu=1% mem=7785/12227MB power=65.57W temp=50C
